Gene_id,readcount_S_111,readcount_S_CON,log2FoldChange,pval,padj,Gene description,Gene name
Novel00168,687.1226041,1032.588427,-0.58763,0.001711,0.031392,--,PREDICTED: phospholipase DDHD2-like isoform X1 [Solanum tuberosum]>gi|565363670|ref|XP_006348556.1| PREDICTED: phospholipase DDHD2-like isoform X2 [Solanum tuberosum]>gi|565363672|ref|XP_006348557.1| PREDICTED: phospholipase DDHD2-like isoform X3 [Solanum tuberosum]>gi|565363674|ref|XP_006348558.1| PREDICTED: phospholipase DDHD2-like isoform X4 [Solanum tuberosum]>gi|565363676|ref|XP_006348559.1| PREDICTED: phospholipase DDHD2-like isoform X5 [Solanum tuberosum]
Novel00184,203.000734,334.7437177,-0.72157,0.00074826,0.017224,--,PREDICTED: uncharacterized protein LOC104088739 [Nicotiana tomentosiformis]>gi|697165919|ref|XP_009591770.1| PREDICTED: uncharacterized protein LOC104088739 [Nicotiana tomentosiformis]>gi|697165921|ref|XP_009591771.1| PREDICTED: uncharacterized protein LOC104088739 [Nicotiana tomentosiformis]
Novel00226,197.2180904,109.0096261,0.85534,0.00067652,0.015926,--,"PREDICTED: triose phosphate/phosphate translocator TPT, chloroplastic-like [Solanum tuberosum]"
Novel00271,653.6100547,1057.670959,-0.69439,0.00026444,0.0076356,--,PREDICTED: paladin-like isoform X2 [Solanum tuberosum]
Novel00280,252.8788157,146.7177699,0.7854,0.00086314,0.019145,--,PREDICTED: cinnamoyl-CoA reductase 1-like [Solanum tuberosum]
Novel00288,15.75245449,0,Inf,0.0018776,0.033653,--,PREDICTED: uncharacterized protein LOC102605120 [Solanum tuberosum]
Novel00294,8.753304791,30.268792,-1.7899,0.0012567,0.025181,--,PREDICTED: protein ECERIFERUM 1-like isoform X1 [Solanum tuberosum]
Novel00304,31.59048911,74.77477457,-1.2431,0.00038343,0.010174,--,PREDICTED: (+)-neomenthol dehydrogenase-like [Solanum tuberosum]
Novel00312,81.7563757,193.231651,-1.2409,3.31E-05,0.001441,--,PREDICTED: uncharacterized protein LOC102605341 isoform X1 [Solanum tuberosum]
Novel00329,9.121950504,45.60098123,-2.3217,6.91E-06,0.00039421,--,"PREDICTED: GDSL esterase/lipase At5g03980-like, partial [Solanum tuberosum]"
Novel00331,357.9346329,645.1499446,-0.84994,0.0009832,0.021045,--,PREDICTED: probable linoleate 9S-lipoxygenase 5-like [Solanum tuberosum]
Novel00333,220.2202245,490.1109471,-1.1542,5.72E-06,0.00033777,--,PREDICTED: ATP-dependent DNA helicase Q-like SIM-like isoform X5 [Solanum tuberosum]
Novel00335,84.65125818,256.7498158,-1.6008,5.83E-11,1.12E-08,--,PREDICTED: LOW QUALITY PROTEIN: phospholipase D p1 [Solanum lycopersicum]
Novel00341,95.5459146,168.4232839,-0.81783,0.00098759,0.021093,--,PREDICTED: probable leucine-rich repeat receptor-like protein kinase At5g49770-like [Solanum tuberosum]
Novel00358,134.0588679,633.3813301,-2.2402,3.08E-09,4.13E-07,--,"PREDICTED: (-)-camphene/tricyclene synthase, chloroplastic-like [Solanum tuberosum]"
Novel00366,95.10918491,198.5423163,-1.0618,0.00022239,0.0066948,-//-,
Novel00368,417.2230811,254.542497,0.71291,0.00033969,0.0093074,--,PREDICTED: uncharacterized protein LOC102593566 isoform X1 [Solanum tuberosum]
Novel00373,202.8204449,118.1487616,0.7796,0.00098665,0.021088,-//-,
Novel00374,27.27768485,60.46633186,-1.1484,0.0026857,0.04405,-//-,
Novel00397,957.8334821,405.4284921,1.2403,0.0013515,0.026498,--,PREDICTED: latent-transforming growth factor beta-binding protein 4-like [Solanum tuberosum]
Novel00411,11.2061285,33.49798546,-1.5798,0.0021723,0.037496,--,"PREDICTED: photosystem II 5 kDa protein, chloroplastic-like [Solanum tuberosum]"
Novel00434,207.4304868,111.8388076,0.89121,0.00061726,0.014847,-//-,
Novel00472,36.65782059,105.7563318,-1.5286,1.89E-06,0.00012877,--,PREDICTED: uncharacterized protein LOC102603319 [Solanum tuberosum]
Novel00473,5.862327946,41.28827024,-2.8162,2.60E-07,2.25E-05,-//-,
Novel00497,2015.80498,5335.520532,-1.4043,1.02E-15,4.52E-13,--,PREDICTED: uncharacterized protein LOC102601920 isoform X1 [Solanum tuberosum]>gi|565399834|ref|XP_006365447.1| PREDICTED: uncharacterized protein LOC102601920 isoform X2 [Solanum tuberosum]
Novel00508,73.16733488,257.1992446,-1.8136,1.01E-12,2.74E-10,--,PREDICTED: telomerase reverse transcriptase-like isoform X1 [Solanum tuberosum]
Novel00513,11.82568368,37.58841367,-1.6684,0.00099954,0.021261,--,PREDICTED: uncharacterized protein LOC102579760 isoform X1 [Solanum tuberosum]
Novel00607,27.41280884,59.62304455,-1.121,0.0023976,0.04039,--,PREDICTED: beta-amyrin 11-oxidase-like [Solanum lycopersicum]
Novel00611,195.6225597,116.6285232,0.74615,0.0030359,0.048144,--,PREDICTED: 26S proteasome non-ATPase regulatory subunit 2 homolog A-like [Solanum tuberosum]
Novel00613,49.98585787,16.63917224,1.5869,0.0015107,0.028769,-//-,
Novel00659,434.3745961,888.5107088,-1.0324,0.0024231,0.040732,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g06840-like [Solanum tuberosum]
Novel00670,243.2225213,398.2999623,-0.71158,0.00073283,0.017007,--,PREDICTED: B3 domain-containing protein Os07g0679700-like isoform X2 [Solanum tuberosum]
Novel00677,398.6139086,629.5430453,-0.65931,0.00064531,0.015378,--,PREDICTED: neurofilament medium polypeptide-like isoform X1 [Solanum tuberosum]
Novel00678,86.41216172,288.6392139,-1.74,4.98E-13,1.42E-10,--,PREDICTED: axoneme-associated protein mst101(2)-like [Solanum tuberosum]
Novel00697,256.9424337,540.1015072,-1.0718,7.65E-08,7.58E-06,--,PREDICTED: cytochrome P450 76A2-like [Solanum tuberosum]
Novel00698,90.65745945,205.6426733,-1.1816,4.23E-05,0.0017544,--,PREDICTED: LOW QUALITY PROTEIN: protein ROS1-like [Solanum lycopersicum]
Novel00707,596.7015741,350.9570493,0.76572,6.13E-05,0.0023678,-//-,
Novel00716,509.8283124,787.7179972,-0.62767,0.0018539,0.033372,--,PREDICTED: myosin-2-like isoform X3 [Solanum tuberosum]
Novel00775,247.3932511,455.5495399,-0.8808,2.49E-05,0.0011391,--,PREDICTED: replication protein A 70 kDa DNA-binding subunit B-like [Solanum tuberosum]
Novel00785,174.3792658,82.73636629,1.0756,0.00013224,0.0044411,--,PREDICTED: geraniol 8-hydroxylase-like isoform X1 [Solanum lycopersicum]
Novel00790,899.0143188,1937.267814,-1.1076,1.70E-10,2.89E-08,--,PREDICTED: pyruvate decarboxylase 1-like [Solanum tuberosum]
Novel00819,192.0996396,619.7617074,-1.6899,1.56E-16,8.22E-14,--,hypothetical protein OsJ_01227 [Oryza sativa Japonica Group]
Novel00838,12931.73699,5763.814955,1.1658,0.00010447,0.0036505,--,RecName: Full=Induced stolen tip protein TUB8>gi|21483|emb|CAA77741.1| induced stolon tip protein [Solanum tuberosum]
Novel00845,20.28455011,115.1102375,-2.5046,1.42E-13,4.63E-11,--,PREDICTED: uncharacterized protein LOC101265700 [Solanum lycopersicum]
Novel00862,70.74882421,160.7539562,-1.1841,4.41E-06,0.00026813,--,PREDICTED: transcription factor DIVARICATA-like [Solanum tuberosum]
Novel00886,78.69248327,36.37728469,1.1132,0.00092145,0.020057,--,PREDICTED: gibberellin 20 oxidase 2-like [Solanum tuberosum]
Novel00898,7.747134628,27.60940256,-1.8334,0.0016785,0.030989,--,"PREDICTED: proteinaceous RNase P 1, chloroplastic/mitochondrial-like isoform X2 [Solanum tuberosum]"
Novel00900,57.59401709,133.1229065,-1.2088,6.89E-05,0.0025972,--,PREDICTED: DNA (cytosine-5)-methyltransferase 1B-like [Solanum tuberosum]
Novel00958,36.15483858,84.8634497,-1.231,0.00013439,0.0044842,--,PREDICTED: feruloyl CoA ortho-hydroxylase 1-like [Solanum tuberosum]
Novel00997,190.6077775,333.1992711,-0.80578,0.00036624,0.0098269,--,PREDICTED: cytochrome P450 83B1-like [Solanum lycopersicum]
Novel01018,774.3912605,487.6753187,0.66714,0.00063134,0.015103,-//-,
Novel01041,1102.275242,2521.243972,-1.1937,1.57E-07,1.45E-05,--,"PREDICTED: K(+) efflux antiporter 3, chloroplastic-like isoform X1 [Solanum tuberosum]"
Novel01046,249.9835619,143.4001909,0.80179,0.00048434,0.012296,--,PREDICTED: probable glutamate carboxypeptidase 2-like [Solanum tuberosum]
Novel01053,116.6502873,313.1531955,-1.4247,2.94E-06,0.00018746,--,PREDICTED: protein NLP7-like isoform X1 [Solanum tuberosum]>gi|565375446|ref|XP_006354240.1| PREDICTED: protein NLP7-like isoform X2 [Solanum tuberosum]
Novel01060,2.222621994,46.86181508,-4.3981,2.99E-13,9.24E-11,--,PREDICTED: cytochrome P450 716B2-like [Solanum tuberosum]
Novel01084,123.0046869,238.9417951,-0.95795,5.05E-05,0.0020076,--,PREDICTED: uncharacterized protein LOC102604569 [Solanum tuberosum]
Novel01101,480.7511989,303.6384177,0.66294,0.00084653,0.018885,--,nematode resistance-like protein [Solanum tuberosum]
Novel01102,976.205963,3117.439575,-1.6751,0.00082545,0.018548,--,"PREDICTED: leucine aminopeptidase, chloroplastic-like [Solanum tuberosum]"
Novel01130,265.2506998,547.6076858,-1.0458,3.32E-07,2.77E-05,--,PREDICTED: uncharacterized protein LOC102579760 isoform X1 [Solanum tuberosum]
Novel01170,414.7648347,225.8145517,0.87716,4.01E-05,0.0016857,--,PREDICTED: uncharacterized protein LOC102591330 [Solanum tuberosum]
Novel01189,272.5766353,155.4701583,0.81002,0.00031203,0.0087577,--,PREDICTED: purine permease 1-like [Solanum tuberosum]
Novel01198,1296.708438,741.6216819,0.8061,8.19E-06,0.00045453,--,PREDICTED: probable serine/threonine-protein kinase roco7-like [Solanum tuberosum]
Novel01207,176.5473442,432.913167,-1.294,0.00035184,0.0095393,--,"PREDICTED: TMV resistance protein N-like, partial [Solanum tuberosum]"
Novel01257,17.72737861,46.80636965,-1.4007,0.0017832,0.032335,--,PREDICTED: uncharacterized protein LOC101248883 [Solanum lycopersicum]
Novel01315,6.402198829,24.07232657,-1.9107,0.0025597,0.0425,--,PREDICTED: uncharacterized protein LOC102586371 [Solanum tuberosum]
Novel01331,2793.652889,1644.148875,0.76481,9.10E-05,0.0032776,--,apyrase precursor [Solanum tuberosum]>gi|157267554|gb|ABV26545.1| apyrase 3 [Solanum tuberosum]
Novel01333,977.8079442,357.3404921,1.4523,0.00011236,0.0038736,--,PREDICTED: apyrase 2 isoform X2 [Solanum tuberosum]
Novel01397,1169.221131,782.8412785,0.57876,0.0011218,0.023119,--,PREDICTED: paired amphipathic helix protein Sin3-like 2-like isoform X4 [Solanum tuberosum]
Novel01399,13.2668496,50.94003641,-1.941,9.21E-06,0.00050237,-//-,
Novel01438,1100.475391,659.0579012,0.73965,0.0022665,0.038707,--,PREDICTED: beta-glucosidase 47-like [Solanum tuberosum]
Novel01445,42.43381353,141.3060918,-1.7355,8.02E-07,6.07E-05,--,PREDICTED: deacetylvindoline O-acetyltransferase-like [Solanum tuberosum]
Novel01460,1419.608803,2274.242982,-0.67989,0.00012399,0.0042003,--,PREDICTED: tetratricopeptide repeat protein 13-like [Solanum tuberosum]
Novel01462,2158.933961,1228.4083,0.81353,2.65E-06,0.00017419,--,PREDICTED: serine/threonine-protein kinase SRK2I-like [Solanum tuberosum]
Novel01497,113.9933053,202.3295638,-0.82776,0.0012721,0.025363,--,PREDICTED: nucleoprotein TPR-like [Solanum tuberosum]
Novel01500,140.4924787,261.5250764,-0.89646,0.0001347,0.0044896,--,PREDICTED: protein ROOT HAIR DEFECTIVE 3 homolog 2-like [Solanum tuberosum]
Novel01511,1108.460604,1989.220897,-0.84365,2.83E-05,0.0012664,--,"PREDICTED: ferredoxin--NADP reductase, leaf-type isozyme, chloroplastic-like [Solanum tuberosum]"
Novel01535,4826.65756,3315.034832,0.542,0.0018412,0.033193,--,PREDICTED: cathepsin B-like [Solanum tuberosum]
Novel01596,568.9392995,355.0705954,0.68017,0.0017902,0.032438,--,PREDICTED: peroxidase 49-like [Solanum tuberosum]
Novel01618,804.2189207,1278.668265,-0.66898,0.00021026,0.0063606,--,PREDICTED: probable disease resistance protein At5g66910-like isoform X2 [Solanum tuberosum]
Novel01627,8.438837962,51.95635859,-2.6222,7.92E-05,0.0029194,--,PREDICTED: titin-like isoform X13 [Solanum tuberosum]
Novel01640,239.9379141,480.7983274,-1.0028,1.00E-06,7.33E-05,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Solanum lycopersicum]
Novel01652,54.02883306,111.3941173,-1.0439,0.00066963,0.015815,--,PREDICTED: phenylalanine ammonia-lyase-like [Solanum tuberosum]
Novel01658,23.27265319,53.4586495,-1.1998,0.0031119,0.048975,--,PREDICTED: topless-related protein 1-like isoform X1 [Solanum tuberosum]
Novel01727,55.26778078,155.4788536,-1.4922,0.00099496,0.021178,--,"PREDICTED: homeobox-leucine zipper protein HDG11-like, partial [Solanum tuberosum]"
Novel01733,10.05465749,35.49695633,-1.8198,0.00050205,0.012632,--,PREDICTED: bidirectional sugar transporter SWEET12-like [Nicotiana sylvestris]
Novel01759,2.308946301,22.90611992,-3.3104,1.86E-05,0.00089903,--,PREDICTED: serine/threonine-protein kinase ATM-like [Solanum tuberosum]
Novel01783,317.1247237,519.6412334,-0.71247,0.00056041,0.013755,--,PREDICTED: uncharacterized protein LOC102587113 [Solanum tuberosum]
Novel01790,991.5555016,1769.930537,-0.83593,1.78E-06,0.00012199,--,PREDICTED: probable peptide transporter At1g52190-like [Solanum tuberosum]
Novel01806,71.84859445,253.259346,-1.8176,1.97E-13,6.25E-11,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Nicotiana sylvestris]
Novel01845,25.36009699,60.72064088,-1.2596,0.00088536,0.019425,-//-,
Novel01854,1383.746179,2238.519406,-0.69397,0.00010546,0.0036809,--,PREDICTED: probable galactinol--sucrose galactosyltransferase 2-like isoform X1 [Solanum tuberosum]>gi|565392275|ref|XP_006361830.1| PREDICTED: probable galactinol--sucrose galactosyltransferase 2-like isoform X2 [Solanum tuberosum]
Novel01872,2.73308592,51.86072922,-4.246,0.0025523,0.042467,-//-,
Novel01881,149.0813068,255.5398695,-0.77745,0.00075043,0.017261,--,PREDICTED: protein TRANSPARENT TESTA 12-like [Solanum tuberosum]
Novel01882,39.0255808,92.03518362,-1.2378,0.00019342,0.0059496,--,PREDICTED: protein TRANSPARENT TESTA 12-like [Solanum tuberosum]
Novel01887,538.3585174,247.866629,1.119,5.59E-08,5.75E-06,--,"PREDICTED: type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2-like [Solanum tuberosum]"
Novel01919,305.0323289,753.1787306,-1.304,4.85E-11,9.42E-09,--,PREDICTED: LON peptidase N-terminal domain and RING finger protein 1-like [Solanum tuberosum]
Novel01922,6388.35392,4339.514987,0.55791,0.0008517,0.018959,--,PREDICTED: F-box/LRR-repeat protein 13-like isoform X1 [Solanum tuberosum]>gi|565348809|ref|XP_006341393.1| PREDICTED: F-box/LRR-repeat protein 13-like isoform X2 [Solanum tuberosum]>gi|565348811|ref|XP_006341394.1| PREDICTED: F-box/LRR-repeat protein 13-like isoform X3 [Solanum tuberosum]
Novel01962,1513.614673,2233.86641,-0.56154,0.001877,0.033653,--,PREDICTED: cell division cycle and apoptosis regulator protein 1-like [Solanum tuberosum]
Novel01973,351.4376661,549.359459,-0.64448,0.0015231,0.028891,--,PREDICTED: centromere-associated protein E-like isoform X2 [Solanum tuberosum]
Novel02003,932.7952649,1350.025999,-0.53335,0.0031644,0.049586,--,PREDICTED: uncharacterized protein LOC102604111 [Solanum tuberosum]
Novel02011,32.36725594,71.02662812,-1.1338,0.0012841,0.025569,--,PREDICTED: uncharacterized protein LOC102585254 [Solanum tuberosum]
Novel02012,422.5818414,1155.070262,-1.4507,6.62E-07,5.20E-05,--,"PREDICTED: zeaxanthin epoxidase, chloroplastic-like [Solanum tuberosum]"
Novel02039,95.4617037,188.1107776,-0.97859,0.00012131,0.0041273,-//-,
Novel02053,678.3702932,1167.660511,-0.78348,2.18E-05,0.0010048,--,PREDICTED: protein PHR1-LIKE 1-like isoform X1 [Solanum tuberosum]>gi|565346860|ref|XP_006340464.1| PREDICTED: protein PHR1-LIKE 1-like isoform X2 [Solanum tuberosum]
Novel02062,882.8164265,1573.104526,-0.83343,3.78E-06,0.00023566,--,PREDICTED: calmodulin-binding transcription activator 3-like [Solanum tuberosum]
Novel02097,58.38042276,121.0128992,-1.0516,0.00089793,0.019637,--,PREDICTED: RING-H2 finger protein ATL56-like [Nicotiana tomentosiformis]
Novel02106,418.3656427,632.2982446,-0.59584,0.0020043,0.035375,--,PREDICTED: protein FAM91A1-like isoform X1 [Solanum tuberosum]>gi|565395342|ref|XP_006363300.1| PREDICTED: protein FAM91A1-like isoform X2 [Solanum tuberosum]>gi|565395344|ref|XP_006363301.1| PREDICTED: protein FAM91A1-like isoform X3 [Solanum tuberosum]>gi|565395346|ref|XP_006363302.1| PREDICTED: protein FAM91A1-like isoform X4 [Solanum tuberosum]>gi|565395348|ref|XP_006363303.1| PREDICTED: protein FAM91A1-like isoform X5 [Solanum tuberosum]
Novel02107,61.47936172,400.9923111,-2.7054,5.43E-11,1.05E-08,--,PREDICTED: rhodanese-like domain-containing protein 6-like [Solanum tuberosum]
Novel02135,173.4276064,546.1789759,-1.655,3.37E-08,3.61E-06,--,PREDICTED: uncharacterized protein LOC102593697 [Solanum tuberosum]
Novel02136,1791.974873,3419.536963,-0.93225,4.87E-05,0.0019532,--,PREDICTED: zinc finger CCCH domain-containing protein 53-like isoform X3 [Solanum tuberosum]
Novel02153,107.2296823,254.5744425,-1.2474,4.49E-06,0.00027294,--,PREDICTED: UPF0481 protein At3g47200-like [Solanum tuberosum]
Novel02158,5.048726449,33.85653088,-2.7454,0.00043604,0.011319,--,PREDICTED: uncharacterized protein LOC102592404 [Solanum tuberosum]
Novel02161,1154.339009,790.2992862,0.5466,0.0027393,0.044597,-//-,
Novel02170,1013.082186,499.2410186,1.0209,1.03E-05,0.00054875,--,PREDICTED: serine carboxypeptidase-like 18-like isoform X1 [Solanum tuberosum]
Novel02204,114.4184388,58.59929803,0.96536,0.0013187,0.026085,--,PREDICTED: uncharacterized protein LOC104099852 [Nicotiana tomentosiformis]
Novel02215,92.89931562,179.3314585,-0.94889,0.00024177,0.0071064,-//-,
Novel02216,78.09216888,200.1148206,-1.3576,1.87E-07,1.67E-05,-//-,
Novel02227,434.2647672,240.0491888,0.85524,4.19E-05,0.0017408,--,PREDICTED: uncharacterized protein LOC102587765 [Solanum tuberosum]
Novel02232,498.7909482,324.7677612,0.61903,0.0023866,0.040271,--,"transcription factor NF-Y CCAAT-binding-like protein-like [Solanum tuberosum]>gi|565346835|ref|XP_006340452.1| PREDICTED: nuclear transcription factor Y subunit B-10 isoform X2 [Solanum tuberosum]>gi|565346837|ref|XP_006340453.1| PREDICTED: nuclear transcription factor Y subunit B-10 isoform X3 [Solanum tuberosum]>gi|81074849|gb|ABB55377.1| transcription factor NF-Y CCAAT-binding-like protein-like [Solanum tuberosum]>gi|81076282|gb|ABB55391.1| transcription factor NF-Y CCAAT-binding-like protein-like [Solanum tuberosum]>gi|82400142|gb|ABB72810.1| transcription factor NF-Y, CCAAT-binding-like protein [Solanum tuberosum]"
Novel02243,1720.095047,1147.358863,0.58417,0.0010271,0.021757,--,"PREDICTED: synaptotagmin-2-like, partial [Malus domestica]"
Novel02246,1914.836612,4123.878609,-1.1068,1.20E-05,0.00062542,--,"PREDICTED: uncharacterized aarF domain-containing protein kinase At1g79600, chloroplastic-like isoform X1 [Solanum tuberosum]>gi|565376435|ref|XP_006354711.1| PREDICTED: uncharacterized aarF domain-containing protein kinase At1g79600, chloroplastic-like isoform X2 [Solanum tuberosum]"
Novel02252,287.8372917,577.0497671,-1.0034,0.00044926,0.011604,--,PREDICTED: uncharacterized protein LOC101246131 [Solanum lycopersicum]
Novel02263,264.5782807,141.7239513,0.90061,4.87E-05,0.0019532,--,PREDICTED: sucrose synthase-like [Nicotiana sylvestris]
Novel02272,533.5542017,1016.28962,-0.9296,6.74E-07,5.27E-05,-//-,
Novel02281,3.050926969,16.14294922,-2.4036,0.002702,0.044201,--,PREDICTED: midasin-like [Solanum tuberosum]
Novel02363,341.5831027,919.0049746,-1.4278,7.57E-07,5.79E-05,--,PREDICTED: ABC transporter G family member 32-like [Solanum tuberosum]
Novel02396,56.49345916,138.8011447,-1.2969,6.43E-06,0.00037325,--,PREDICTED: putative ribonuclease H protein At1g65750-like [Solanum tuberosum]
Novel02419,629.2998375,1561.127807,-1.3108,4.98E-13,1.42E-10,--,PREDICTED: chalcone--flavonone isomerase-like isoform X1 [Solanum tuberosum]
Novel02442,636.6354366,1226.788327,-0.94635,1.69E-05,0.00082653,--,PREDICTED: WAT1-related protein At1g70260-like [Solanum tuberosum]
Novel02466,1884.19018,2825.068004,-0.58434,0.0010294,0.021776,--,PREDICTED: protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein-like [Solanum tuberosum]
Novel02512,11.52059533,34.95102845,-1.6011,0.0018725,0.033615,--,PREDICTED: ovarian cancer-associated gene 2 protein homolog [Solanum tuberosum]
Novel02516,102.971057,8.202591835,3.65,0.0005486,0.013561,-//-,
Novel02521,37.48074636,75.89437512,-1.0178,0.0031713,0.049586,--,PREDICTED: pleiotropic drug resistance protein 1-like [Solanum lycopersicum]
Novel02546,5060.805488,3359.767102,0.59101,0.0012532,0.025127,-//-,
Novel02547,305.3763941,519.9058966,-0.76766,9.27E-05,0.0033238,--,"PREDICTED: omega-3 fatty acid desaturase, endoplasmic reticulum-like isoform X1 [Solanum tuberosum]>gi|565354293|ref|XP_006344050.1| PREDICTED: omega-3 fatty acid desaturase, endoplasmic reticulum-like isoform X2 [Solanum tuberosum]"
Novel02560,56.29551128,112.7631003,-1.0022,0.00097095,0.020853,--,PREDICTED: protein fluG-like [Solanum tuberosum]
Novel02603,950.5460109,2177.271976,-1.1957,1.62E-09,2.33E-07,--,PREDICTED: copper transport protein CCH-like isoform X1 [Solanum tuberosum]>gi|565388882|ref|XP_006360196.1| PREDICTED: copper transport protein CCH-like isoform X2 [Solanum tuberosum]
Novel02616,142.6343684,246.3963086,-0.78866,0.0010481,0.022038,--,PREDICTED: uncharacterized protein LOC102600450 [Solanum tuberosum]
Novel02633,279.1833851,781.3115518,-1.4847,0.0018042,0.032634,--,PREDICTED: clustered mitochondria protein-like [Solanum tuberosum]
Novel02663,135.0839577,238.1932157,-0.81828,0.00045946,0.011789,--,cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8 [Solanum lycopersicum]>gi|383212266|dbj|BAM09003.1| cytokinin riboside 5'-monophosphate phosphoribohydrolase-like [Solanum lycopersicum]
Novel02681,7601.51515,4564.654809,0.73578,1.06E-05,0.00056533,--,40S ribosomal protein S4-like [Solanum tuberosum]>gi|82400118|gb|ABB72798.1| 40S ribosomal protein S4-like protein [Solanum tuberosum]
Novel02685,3380.930154,1309.561247,1.3683,0.00069169,0.016234,--,metallothionein-like protein type 2 [Solanum lycopersicum]>gi|2497900|sp|Q43515.1|MT2Z_SOLLC RecName: Full=Metallothionein-like protein type 2 [Solanum lycopersicum]>gi|1122419|emb|CAA92325.1| metallothionein-like protein [Solanum lycopersicum]
Novel02692,88.35346275,210.1823056,-1.2503,0.00066977,0.015815,--,PREDICTED: helicase protein MOM1-like [Solanum tuberosum]
Novel02698,629.027964,1341.679538,-1.0928,7.85E-06,0.00043958,--,"PREDICTED: chaperone protein ClpB3, mitochondrial-like isoform X1 [Solanum tuberosum]>gi|565378980|ref|XP_006355922.1| PREDICTED: chaperone protein ClpB3, mitochondrial-like isoform X2 [Solanum tuberosum]"
Novel02715,19.41481896,61.66338206,-1.6673,4.17E-05,0.0017391,--,PREDICTED: MADS-box protein SOC1-like [Solanum tuberosum]
Novel02716,379.9992978,1266.903986,-1.7372,3.45E-05,0.0014868,--,PREDICTED: protein HOTHEAD-like [Solanum tuberosum]
Novel02738,230.9731276,371.7104376,-0.68645,0.001244,0.024974,--,hypothetical protein POPTR_0006s26420g [Populus trichocarpa]>gi|550337136|gb|ERP59866.1| hypothetical protein POPTR_0006s26420g [Populus trichocarpa]
Novel02740,11.88924105,33.78217999,-1.5066,0.0025835,0.042826,--,"PREDICTED: uncharacterized protein LOC102582774, partial [Solanum tuberosum]"
Novel02747,58.27718384,173.5920344,-1.5747,8.81E-09,1.09E-06,--,PREDICTED: glutamate receptor 2.8-like [Solanum lycopersicum]>gi|357933565|dbj|BAL15049.1| glutamate receptor 2.2 [Solanum lycopersicum]
Novel02748,9.177498621,29.92218466,-1.705,0.0016222,0.030207,--,PREDICTED: glutamate receptor 2.8-like [Solanum tuberosum]
Novel02782,3892.375116,2569.68124,0.59906,0.00086629,0.019161,-//-,
Novel02815,24.369418,204.6463394,-3.07,6.29E-07,4.96E-05,--,"PREDICTED: LOW QUALITY PROTEIN: sesquiterpene synthase-like, partial [Solanum tuberosum]"
Novel02868,16.18317991,63.8652733,-1.9805,1.95E-06,0.00013191,--,PREDICTED: uncharacterized protein LOC102586839 [Solanum tuberosum]
